raceId,horseNumber,actualOdds,marketWinOdds,marketPopularity,observedAt,source
202605021011,10,2.6,2.6,1,2026-05-21T17:16:00+09:00,manual_user
202605021011,18,4.0,4.0,2,2026-05-21T17:16:00+09:00,manual_user
202605021011,3,7.0,7.0,3,2026-05-21T17:16:00+09:00,manual_user
202605021011,12,7.4,7.4,4,2026-05-21T17:16:00+09:00,manual_user
202605021011,13,13.1,13.1,5,2026-05-21T17:16:00+09:00,manual_user
202605021011,16,20.6,20.6,6,2026-05-21T17:16:00+09:00,manual_user
202605021011,15,22.9,22.9,7,2026-05-21T17:16:00+09:00,manual_user
202605021011,9,31.6,31.6,8,2026-05-21T17:16:00+09:00,manual_user
202605021011,8,32.6,32.6,9,2026-05-21T17:16:00+09:00,manual_user
202605021011,11,56.1,56.1,10,2026-05-21T17:16:00+09:00,manual_user
202605021011,2,61.5,61.5,11,2026-05-21T17:16:00+09:00,manual_user
202605021011,17,71.0,71.0,12,2026-05-21T17:16:00+09:00,manual_user
202605021011,14,86.1,86.1,13,2026-05-21T17:16:00+09:00,manual_user
202605021011,6,131.0,131.0,14,2026-05-21T17:16:00+09:00,manual_user
202605021011,1,164.8,164.8,15,2026-05-21T17:16:00+09:00,manual_user
202605021011,5,168.6,168.6,16,2026-05-21T17:16:00+09:00,manual_user
202605021011,4,215.2,215.2,17,2026-05-21T17:16:00+09:00,manual_user
202605021011,7,481.2,481.2,18,2026-05-21T17:16:00+09:00,manual_user
